#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#            <parameter id="popSize" name="popSize" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </populationModel>
#        <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#            <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#            </tree>
#        </treeIntervals>
#    </distribution>
#    <distribution data="@alignment" id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel id="hky" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <frequencies data="@alignment" id="freqs" spec="beast.evolution.substitutionmodel.Frequencies"/>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="branchRates" spec="beast.evolution.branchratemodel.RandomLocalClockModel" tree="@tree">
#            <indicators dimension="10" id="indicators" spec="beast.core.parameter.BooleanParameter">false</indicators>
#            <parameter dimension="10" id="rates" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#</input>
#
Sample	coalescent	treeLikelihood	tree.height	popSize	hky.kappa	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	posterior
4700	5.034009661658234	-1818.8917114466162	0.07064227961577792	0.039530324832195755	55.60330803723321	0	0	0	0	0	0	0	0	0	0	0.4024067547592603	3.3583116317495887	3.5237689409108484	7.094810744765646	1.9045518942469648	1.00125866175757	0.17708909397165662	0.7704339423558145	1.4911716752416573	1.6017924437518196	-1813.857701784958
4800	6.809924514707786	-1817.8657260724972	0.07640056289378763	0.08337590763485027	51.30022734526605	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	3.3583116317495887	3.5237689409108484	7.094810744765646	1.9045518942469648	1.00125866175757	0.1837233440084763	0.7704339423558145	1.4911716752416573	1.6017924437518196	-1811.0558015577894
4900	7.4907464077036074	-1814.1855773510651	0.05446424593274787	0.0955345962744753	28.006203050727954	0	0	0	0	0	0	0	1	0	0	0.4702360333357232	3.3583116317495887	3.5237689409108484	7.094810744765646	1.5595522671091118	1.00125866175757	0.1837233440084763	0.7704339423558145	1.4911716752416573	1.6017924437518196	-1806.6948309433615
5000	5.787640263030147	-1814.6899260782625	0.0604340972551215	0.20084235393112868	44.75357518844704	0	0	0	0	1	0	0	1	0	0	0.4702360333357232	3.3583116317495887	3.5237689409108484	7.094810744765646	1.5595522671091118	1.00125866175757	0.1837233440084763	0.7704339423558145	1.4911716752416573	1.6017924437518196	-1808.9022858152323
5100	7.301302077735915	-1813.5183827173528	0.0604340972551215	0.05592001568399195	24.14862369099751	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	3.3583116317495887	3.5237689409108484	7.094810744765646	1.827131021499734	1.00125866175757	0.2803196039860111	0.7879819872875677	1.4911716752416573	1.6017924437518196	-1806.2170806396168
5200	8.175480907102752	-1817.1310038273164	0.0604340972551215	0.08556623346408695	21.55960954185952	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	3.3583116317495887	3.5237689409108484	7.094810744765646	1.827131021499734	1.00125866175757	0.20623991263202646	0.704882952815731	1.4911716752416573	2.8241108155653234	-1808.9555229202135
5300	7.850674123853172	-1813.698300777466	0.0604340972551215	0.08556623346408695	35.2412338122101	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	4.372034180771044	3.5237689409108484	7.094810744765646	2.478149783937445	1.00125866175757	0.20623991263202646	0.704882952815731	1.1172525582503297	2.8557873569814896	-1805.847626653613
5400	7.846222255719299	-1813.2686864122159	0.060749623792414935	0.08294195781861022	23.52065032279088	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	4.372034180771044	3.5237689409108484	8.797851776847097	2.707154611204112	0.5642755439038418	0.20623991263202646	0.704882952815731	1.1172525582503297	2.8557873569814896	-1805.4224641564965
5500	6.830767026632248	-1814.761329752466	0.060749623792414935	0.13183328283219892	35.946960529373	0	0	0	0	0	0	0	0	0	0	0.4702360333357232	4.372034180771044	3.5237689409108484	8.797851776847097	2.235276651899632	0.7534583525788918	0.20623991263202646	0.704882952815731	1.1172525582503297	2.8557873569814896	-1807.9305627258339
5600	7.49327386151004	-1814.267239044627	0.060749623792414935	0.09608298655974308	23.959495020643228	0	0	0	0	0	0	0	0	0	0	0.5948039558744964	4.372034180771044	5.677211323089165	8.797851776847097	2.235276651899632	0.7534583525788918	0.20623991263202646	0.704882952815731	1.1172525582503297	2.8557873569814896	-1806.773965183117
